date,cash,holdings_value,total_value,AAPL_shares,MSFT_shares,GOOGL_shares,NVDA_shares
2022-01-03,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-04,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-05,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-06,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-07,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-10,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-11,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-12,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-13,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-14,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-18,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-19,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-20,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-21,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-24,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-25,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-26,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-27,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-28,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-01-31,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-01,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-02,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-03,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-04,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-07,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-08,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-09,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-10,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-11,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-14,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
2022-02-15,6148.039936065674,3851.960063934326,10000.0,0.0,7.0,0.0,66.0
2022-02-16,6148.039936065674,3846.2259788513184,9994.265914916992,0.0,7.0,0.0,66.0
2022-02-17,4965.879901885986,4834.732109069824,9800.61201095581,7.0,7.0,0.0,66.0
2022-02-18,4965.879901885986,4746.981983184814,9712.8618850708,7.0,7.0,0.0,66.0
2022-02-22,4965.879901885986,4708.02001953125,9673.899921417236,7.0,7.0,0.0,66.0
2022-02-23,3239.931873321533,6285.869945526123,9525.801818847656,13.0,7.0,6.0,66.0
2022-02-24,4036.077838897705,5745.117992401123,9781.195831298828,13.0,7.0,0.0,66.0
2022-02-25,6179.127918243408,3675.5319557189932,9854.659873962402,0.0,7.0,0.0,66.0
2022-02-28,6179.127918243408,3700.9400749206543,9880.067993164062,0.0,7.0,0.0,66.0
2022-03-01,5036.727939605713,4756.53201675415,9793.259956359863,7.0,7.0,0.0,66.0
2022-03-02,6202.647922515869,3699.8499717712402,9902.49789428711,0.0,7.0,0.0,66.0
2022-03-03,6202.647922515869,3636.564140319824,9839.212062835693,0.0,7.0,0.0,66.0
2022-03-04,5060.457935333252,4684.985939025879,9745.44387435913,7.0,7.0,0.0,66.0
2022-03-07,4049.429920196533,5487.730014801025,9537.159934997559,7.0,7.0,8.0,66.0
2022-03-08,4049.429920196533,5469.790054321289,9519.219974517822,7.0,7.0,8.0,66.0
2022-03-09,5116.789905548096,4679.073974609375,9795.86388015747,7.0,7.0,0.0,66.0
