date,ticker,action,shares,price,amount,confidence
2022-02-15,NVDA,BUY,130.0,26.4950008392334,3444.350109100342,0.22373574175353253
2022-03-08,AAPL,BUY,12.0,157.44000244140625,1889.280029296875,0.02686291421758088
2022-03-09,AAPL,SELL,12.0,162.9499969482422,1955.3999633789062,0.1322892286788323
2022-03-11,AAPL,BUY,13.0,154.72999572753906,2011.4899444580078,0.026313586500758056
2022-03-14,AAPL,BUY,9.0,150.6199951171875,1355.5799560546875,0.11170366357427344
2022-03-15,AAPL,SELL,22.0,155.08999633789062,3411.9799194335938,0.017466072302868167
2022-04-26,AAPL,BUY,12.0,156.8000030517578,1881.6000366210938,0.013675775458550792
2022-04-28,AAPL,SELL,12.0,163.63999938964844,1963.6799926757812,0.1452452425319146
2022-05-05,AAPL,BUY,13.0,156.77000427246094,2038.0100555419922,0.014850500760072905
2022-05-05,GOOGL,BUY,12.0,116.50550079345705,1398.0660095214846,0.007033027998204189
2022-05-09,AAPL,BUY,6.0,152.05999755859375,912.3599853515625,0.0810404573564203
2022-05-09,GOOGL,BUY,6.0,112.51100158691406,675.0660095214844,0.09808041732405004
2022-05-10,AAPL,SELL,19.0,154.50999450683594,2935.689895629883,0.029473194354118208
2022-05-11,AAPL,BUY,10.0,146.5,1465.0,0.2014532029188333
2022-05-13,GOOGL,SELL,18.0,116.05049896240234,2088.908981323242,0.0012772517954399946
2022-05-16,GOOGL,BUY,14.0,114.44499969482422,1602.229995727539,0.040726115808725906
2022-05-17,GOOGL,SELL,14.0,116.4729995727539,1630.6219940185547,0.012510585198441082
2022-05-18,GOOGL,BUY,15.0,111.89949798583984,1678.4924697875977,0.11004797069536641
2022-06-06,GOOGL,SELL,15.0,116.82050323486328,1752.3075485229492,0.024827367618459998
2022-06-27,GOOGL,BUY,13.0,115.83350372314452,1505.8355484008787,0.0016941032727310302
2022-06-28,GOOGL,BUY,11.0,112.00749969482422,1232.0824966430664,0.10254799766400333
2022-07-11,GOOGL,BUY,6.0,115.67649841308594,694.0589904785156,0.0071011194744765175
2022-07-12,GOOGL,BUY,5.0,114.02050018310548,570.1025009155275,0.051781705712702804
2022-07-21,AAPL,SELL,10.0,155.35000610351562,1553.5000610351562,0.008767669389683909
2022-07-22,AAPL,BUY,5.0,154.08999633789062,770.4499816894531,0.03506951148274329
2022-07-27,AAPL,SELL,5.0,156.7899932861328,783.9499664306641,0.018685577470368787
2022-07-29,GOOGL,SELL,35.0,116.31999969482422,4071.1999893188477,0.015314488264088186
2022-08-09,GOOGL,BUY,18.0,116.62999725341795,2099.339950561523,0.01476395540291176
2022-08-10,GOOGL,SELL,18.0,119.6999969482422,2154.59994506836,0.09103868803796154
2022-08-19,GOOGL,BUY,18.0,117.20999908447266,2109.779983520508,0.023234788114089973
2022-08-22,GOOGL,BUY,13.0,114.23999786376952,1485.1199722290037,0.053690133538073496
2022-08-25,GOOGL,SELL,31.0,116.6500015258789,3616.150047302246,0.013886503156284804
2022-08-26,GOOGL,BUY,21.0,110.33999633789062,2317.139923095703,0.15656980226594058
2022-08-31,AAPL,BUY,9.0,157.22000122070312,1414.9800109863281,0.02221880461351615
2022-09-01,AAPL,SELL,9.0,157.9600067138672,1421.6400604248047,0.03758397562587604
2022-09-02,AAPL,BUY,9.0,155.80999755859375,1402.2899780273438,0.004416135893552648
2022-09-12,AAPL,SELL,9.0,163.42999267578125,1470.8699340820312,0.14332154094449542
2022-09-15,AAPL,BUY,10.0,152.3699951171875,1523.699951171875,0.07337411269855863
2022-09-19,AAPL,SELL,10.0,154.47999572753906,1544.7999572753906,0.0286592862243341
2022-09-21,AAPL,BUY,9.0,153.72000122070312,1383.4800109863281,0.044263717806177126
2022-09-30,MSFT,BUY,4.0,232.8999938964844,931.5999755859376,0.0003634494166860521
2022-10-03,MSFT,SELL,4.0,240.7400054931641,962.9600219726564,0.07143779580721611
2022-10-07,MSFT,BUY,4.0,234.2400054931641,936.9600219726564,0.011858037623146104
2022-10-10,MSFT,BUY,3.0,229.25,687.75,0.03550689828809927
2022-10-13,MSFT,SELL,7.0,234.2400054931641,1639.6800384521487,0.013539196914081626
2022-10-14,MSFT,BUY,4.0,228.55999755859372,914.2399902343749,0.04031355709986044
2022-10-26,MSFT,BUY,3.0,231.32000732421875,693.9600219726562,0.014732793540321313
2022-10-27,MSFT,BUY,2.0,226.75,453.5,0.05923138874205313
