date,cash,holdings_value,total_value,NVDA_shares
2022-01-03,10000.0,0.0,10000.0,0.0
2022-01-04,10000.0,0.0,10000.0,0.0
2022-01-05,10000.0,0.0,10000.0,0.0
2022-01-06,10000.0,0.0,10000.0,0.0
2022-01-07,10000.0,0.0,10000.0,0.0
2022-01-10,10000.0,0.0,10000.0,0.0
2022-01-11,10000.0,0.0,10000.0,0.0
2022-01-12,10000.0,0.0,10000.0,0.0
2022-01-13,10000.0,0.0,10000.0,0.0
2022-01-14,10000.0,0.0,10000.0,0.0
2022-01-18,10000.0,0.0,10000.0,0.0
2022-01-19,10000.0,0.0,10000.0,0.0
2022-01-20,10000.0,0.0,10000.0,0.0
2022-01-21,10000.0,0.0,10000.0,0.0
2022-01-24,10000.0,0.0,10000.0,0.0
2022-01-25,10000.0,0.0,10000.0,0.0
2022-01-26,10000.0,0.0,10000.0,0.0
2022-01-27,10000.0,0.0,10000.0,0.0
2022-01-28,10000.0,0.0,10000.0,0.0
2022-01-31,10000.0,0.0,10000.0,0.0
2022-02-01,10000.0,0.0,10000.0,0.0
2022-02-02,10000.0,0.0,10000.0,0.0
2022-02-03,10000.0,0.0,10000.0,0.0
2022-02-04,10000.0,0.0,10000.0,0.0
2022-02-07,10000.0,0.0,10000.0,0.0
2022-02-08,10000.0,0.0,10000.0,0.0
2022-02-09,5006.165014266969,4993.834985733031,10000.0,187.0
2022-02-10,5006.165014266969,4829.087888717651,9835.25290298462,187.0
2022-02-11,5006.165014266969,4478.462888717651,9484.62790298462,187.0
2022-02-14,5006.165014266969,4537.929037094115,9544.094051361084,187.0
2022-02-15,5006.165014266969,4954.5651569366455,9960.730171203613,187.0
2022-02-16,5006.165014266969,4957.556940078735,9963.721954345703,187.0
2022-02-17,5006.165014266969,4582.808994293214,9588.974008560182,187.0
2022-02-18,5006.165014266969,4421.054037094115,9427.219051361084,187.0
2022-02-22,5006.165014266969,4373.929885864259,9380.094900131227,187.0
2022-02-23,9192.533851623535,0.0,9192.533851623535,0.0
2022-02-24,9192.533851623535,0.0,9192.533851623535,0.0
2022-02-25,9192.533851623535,0.0,9192.533851623535,0.0
2022-02-28,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-01,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-02,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-03,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-04,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-07,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-08,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-09,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-10,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-11,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-14,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-15,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-16,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-17,9192.533851623535,0.0,9192.533851623535,0.0
2022-03-18,4616.165004730225,4576.368846893311,9192.533851623535,173.0
2022-03-21,4616.165004730225,4624.981870651245,9241.14687538147,173.0
2022-03-22,4616.165004730225,4588.652029037476,9204.8170337677,173.0
2022-03-23,4616.165004730225,4434.682134628295,9050.84713935852,173.0
2022-03-24,4616.165004730225,4869.949934005738,9486.114938735962,173.0
2022-03-25,4616.165004730225,4790.715902328491,9406.880907058716,173.0
2022-03-28,4616.165004730225,4881.886976242065,9498.05198097229,173.0
2022-03-29,4616.165004730225,4957.488023757935,9573.65302848816,173.0
2022-03-30,4616.165004730225,4790.370092391968,9406.535097122192,173.0
2022-03-31,4616.165004730225,4720.477878570557,9336.642883300781,173.0
2022-04-01,4616.165004730225,4621.175981521607,9237.340986251831,173.0
2022-04-04,4616.165004730225,4733.280105590819,9349.445110321045,173.0
2022-04-05,4616.165004730225,4486.062957763671,9102.227962493896,173.0
2022-04-06,4616.165004730225,4222.410928726195,8838.57593345642,173.0
2022-04-07,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-08,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-11,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-12,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-13,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-14,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-18,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-19,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-20,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-21,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-22,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-25,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-26,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-27,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-28,8804.14903640747,0.0,8804.14903640747,0.0
2022-04-29,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-02,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-03,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-04,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-05,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-06,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-09,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-10,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-11,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-12,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-13,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-16,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-17,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-18,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-19,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-20,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-23,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-24,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-25,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-26,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-27,8804.14903640747,0.0,8804.14903640747,0.0
2022-05-31,8804.14903640747,0.0,8804.14903640747,0.0
2022-06-01,4407.349109649658,4396.7999267578125,8804.14903640747,240.0
2022-06-02,4407.349109649658,4702.07977294922,9109.428882598877,240.0
2022-06-03,4407.349109649658,4492.799835205077,8900.148944854736,240.0
2022-06-06,4407.349109649658,4508.639831542969,8915.988941192627,240.0
2022-06-07,4407.349109649658,4542.240142822266,8949.589252471924,240.0
2022-06-08,4407.349109649658,4475.5201721191415,8882.869281768799,240.0
2022-06-09,4407.349109649658,4331.520080566406,8738.869190216064,240.0
2022-06-10,4407.349109649658,4073.760223388672,8481.10933303833,240.0
2022-06-13,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-14,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-15,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-16,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-17,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-21,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-22,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-23,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-24,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-27,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-28,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-29,8162.6291847229,0.0,8162.6291847229,0.0
2022-06-30,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-01,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-05,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-06,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-07,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-08,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-11,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-12,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-13,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-14,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-15,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-18,8162.6291847229,0.0,8162.6291847229,0.0
2022-07-19,4084.549045562744,4078.0801391601562,8162.6291847229,240.0
2022-07-20,4084.549045562744,4273.6798095703125,8358.228855133057,240.0
2022-07-21,4084.549045562744,4331.999816894531,8416.548862457275,240.0
2022-07-22,4084.549045562744,4156.56005859375,8241.109104156494,240.0
2022-07-25,4084.549045562744,4085.760040283203,8170.309085845947,240.0
2022-07-26,4084.549045562744,3967.9202270507812,8052.469272613525,240.0
2022-07-27,4084.549045562744,4269.6002197265625,8354.149265289307,240.0
2022-07-28,4084.549045562744,4316.159820556641,8400.708866119385,240.0
