date,ticker,action,shares,price,amount,confidence
2022-02-09,NVDA,BUY,187.0,26.70499992370605,4993.834985733031,0.5
2022-02-23,NVDA,SELL,187.0,22.386999130249023,4186.368837356567,0.5
2022-03-18,NVDA,BUY,173.0,26.452999114990234,4576.368846893311,0.5
2022-04-07,NVDA,SELL,173.0,24.20800018310547,4187.984031677246,0.5
2022-06-01,NVDA,BUY,240.0,18.31999969482422,4396.7999267578125,0.5
2022-06-13,NVDA,SELL,240.0,15.647000312805176,3755.280075073242,0.5
2022-07-19,NVDA,BUY,240.0,16.992000579833984,4078.0801391601562,0.5
2022-08-22,NVDA,SELL,240.0,17.034000396728516,4088.1600952148438,0.5
2022-10-24,NVDA,BUY,324.0,12.598999977111816,4082.0759925842285,0.5
2022-12-21,NVDA,SELL,324.0,16.500999450683594,5346.323822021484,0.5
2023-01-12,NVDA,BUY,285.0,16.51099967956543,4705.6349086761475,0.5
2023-04-17,NVDA,SELL,285.0,27.00200080871582,7695.570230484009,0.5
2023-04-19,NVDA,BUY,222.0,27.93099975585937,6200.68194580078,0.5
2023-04-25,NVDA,SELL,222.0,26.24099922180176,5825.501827239991,0.5
2023-05-01,NVDA,BUY,208.0,28.90999984741211,6013.279968261719,0.5
2023-08-07,NVDA,SELL,208.0,45.41699981689453,9446.735961914062,0.5
2023-08-23,NVDA,BUY,164.0,47.11600112915039,7727.024185180664,0.5
2023-09-12,NVDA,SELL,164.0,44.869998931884766,7358.679824829102,0.5
2023-10-04,NVDA,BUY,171.0,44.04100036621094,7531.01106262207,0.5
2023-10-19,NVDA,SELL,171.0,42.10100173950195,7199.271297454834,0.5
2023-11-06,NVDA,BUY,161.0,45.7509994506836,7365.9109115600595,0.5
2023-11-30,NVDA,SELL,161.0,46.77000045776367,7529.970073699951,0.5
2023-12-15,NVDA,BUY,152.0,48.88999938964844,7431.2799072265625,0.5
2024-01-05,NVDA,SELL,152.0,49.09700012207031,7462.7440185546875,0.5
2024-01-08,NVDA,BUY,143.0,52.25299835205078,7472.178764343262,0.5
2024-04-03,NVDA,SELL,143.0,88.96399688720703,12721.851554870605,0.5
2024-05-01,NVDA,BUY,121.0,83.04100036621094,10047.961044311523,0.5
2024-06-28,NVDA,SELL,121.0,123.54000091552734,14948.340110778809,0.5
2024-07-01,NVDA,BUY,101.0,124.3000030517578,12554.300308227537,0.5
2024-07-02,NVDA,SELL,101.0,122.66999816894533,12389.669815063478,0.5
2024-07-09,NVDA,BUY,95.0,131.3800048828125,12481.100463867188,0.5
2024-07-17,NVDA,SELL,95.0,117.98999786376952,11209.049797058104,0.5
2024-08-15,NVDA,BUY,96.0,122.86000061035156,11794.56005859375,0.5
2024-09-04,NVDA,SELL,96.0,106.20999908447266,10196.159912109375,0.5
2024-09-19,NVDA,BUY,93.0,117.87000274658205,10961.91025543213,0.5
2024-09-20,NVDA,SELL,93.0,116.0,10788.0,0.5
2024-09-23,NVDA,BUY,94.0,116.26000213623048,10928.440200805666,0.5
2024-11-04,NVDA,SELL,94.0,136.0500030517578,12788.700286865234,0.5
2024-11-07,NVDA,BUY,79.0,148.8800048828125,11761.520385742188,0.5
2024-11-26,NVDA,SELL,79.0,136.9199981689453,10816.67985534668,0.5
2024-12-27,NVDA,BUY,83.0,137.00999450683594,11371.829544067383,0.5
